video_id,title,publishedAt,channelId,channelTitle,categoryId,viewCount,likeCount,commentCount
946yGX5o-Js,'최초 공개' KATSEYE - Gnarly (Clean ver.) #엠카운트다운 EP.886 | Mnet 250501 방송,2025-05-01 10:44:13+00:00,UCbD8EppRX3ZwJSou-TVo90A,Mnet K-POP,24,1711308,106245,7296
-au0-3OTCdk,Pensando en ti,2025-05-01 23:00:05+00:00,UCY0WTkxT6ARtnfaK8hB5o5A,Keysie SM,10,412364,85778,6552
OkWt2e-eSVQ,Barcelona vs. Inter: Extended Highlights | UCL Semi-final Leg 1 | CBS Sports Golazo,2025-04-30 21:19:22+00:00,UCET00YnetHT7tOpu12v8jxg,CBS Sports Golazo,17,1722630,24810,3644
UPPD-UkfWNM,Amazon VS Temu Dirt Bikes Challenge!,2025-05-01 16:54:04+00:00,UCv9rbAUUpoW0k8MP2R4UEJA,JStuStudios,24,687250,11889,854
oYhpREYQNM8,We're Having a Crisis...,2025-05-01 18:14:21+00:00,UCVe_RrR9AMeY6Z8ixOv5gtw,Ryland vlogs,22,313760,14003,1291
Qs3q_yq9X3Q,FULL Star Wars Fortnite Battle Pass..!! (Chapter 6 Season 3),2025-05-02 06:27:51+00:00,UC3_ASPgD-kYhRSoxAb79_Sw,HYPEX,20,324581,8472,1418
adlFU1QUyog,I Tested the World's Most Unique Gyms,2025-05-01 15:59:11+00:00,UCEjIjshJ8bvvCkGNk0pkYcA,Jesse James West,17,965184,40491,1115
w61xTTQ-2Jw,Mamá ( Video Oficial ) - Mario Bautista & Kim Loaiza,2025-05-01 23:56:51+00:00,UCI8F_Ztv2ypr3ecbh9HT8qQ,Mario Bautista,10,1222890,149429,32990
sY7cQNx4Hg4,The Design of Airline Route Networks,2025-05-01 14:36:16+00:00,UC9RM-iSvTu1uPJb8X5yp3EQ,Wendover Productions,27,601247,17734,793
WtXe0nUXaKQ,"Pokémon, but everything is wrong",2025-05-01 21:12:13+00:00,UCBODyKF0JMbUd6D9Bklyzbw,Alpharad,20,477531,24748,689
caomkg4V0RE,ENTIRE Chapter 6 - Season 3 Battle Pass (Fortnite: Star Wars),2025-05-02 06:34:00+00:00,UCSjnUhv1qzvNjQtzJWnLCFw,Shiina,20,165522,3777,786
RDdUg79wsoE,"I Added a 1 in 4,397,575 Ore in Minecraft",2025-05-01 21:00:33+00:00,UCke6I9N4KfC968-yRcd5YRg,SSundee,20,1002998,34000,1377
0FwBHrVuMJc,The Airplane Crash Conspiracy,2025-05-01 02:18:21+00:00,UC3cpN6gcJQqcCM6mxRUo_dA,Wendigoon,24,980109,59683,4543
Emt5Sez9jhc,Mysteries of the Sea Vol 2: Ghost Ships & Unexplained Maritime Disappearances,2025-05-01 02:00:06+00:00,UCIFk2uvCNcEmZ77g0ESKLcQ,The Why Files,28,956186,62067,2513
wsPjSo1ke90,Ranking EVERY Chain Restaurant...,2025-04-30 18:15:05+00:00,UCYF1kiTFCcYPqGTqXKt3JJg,Papa Meat,23,1150122,60263,5681
6fOuTWpOMAg,NORTH vs SOUTH Football Challenges 2,2025-04-30 21:01:54+00:00,UCQ-YJstgVdAiCT52TiBWDbg,ChrisMD,24,1867281,74023,3054
YwkRJjbH_sg,DREAMLAND! ATHLETIC CLUB 0-3 MAN UNITED GOLDBRIDGE MATCH REACTION,2025-05-01 21:45:03+00:00,UCMmVPVb0BwSIOWVeDwlPocQ,The United Stand,17,341654,11635,1031
EAdh6m3E3UI,【Graduation 3D Mini Live - Gawr Gura】,2025-05-01 00:40:43+00:00,UCoSrY_IQQVpmIRZ9Xf-y93g,Gawr Gura Ch. hololive-EN,20,1956193,224751,20015
OQF8uCDNqqI,Local Elections: What the Hell Happened Last Night?,2025-05-02 09:00:24+00:00,UCSMqateX8OA2s1wsOR2EgJA,TLDR News,25,372461,9777,2926
